round,mse
4,295.57098544451674
8,253.44411035062237
12,240.02846993543986
16,287.247279347554
20,346.66267092121944
24,276.8499923838213
28,248.03055833327454
32,270.25856823795647
36,275.7732246410508
40,220.9228968985582
44,293.6971239210047
48,291.43973635146506
52,322.3355272218449
56,288.77212387305707
60,275.7958350022329
64,271.18446658893174
68,305.6405914650045
72,318.97586041843044
76,241.44777087717824
80,244.9825525824795
84,333.8330073345891
88,194.77490828386422
92,271.21944783367127
96,268.124740464455
100,215.0031490437785
104,325.10248815046646
108,315.1892747186588
112,224.42431712029966
116,240.62832974443893
120,220.65055478597856
124,337.2744116485401
128,280.36427918730107
132,242.04231581011558
136,259.4374916774264
140,249.9085818655871
144,314.2554907748409
148,264.2018008211354
152,284.68820480379725
156,284.99727724008346
160,295.26392230839616
164,287.4681264188675
168,290.50189985467625
172,160.40877695511918
176,328.4080250104706
180,290.11207996063627
184,303.946636501655
188,298.16020243106266
192,265.57239350044205
196,297.0844504455153
200,274.41740504161857
204,193.60072812064598
208,301.42709466320605
212,375.0592228094392
216,244.30994045577927
220,243.58737754967396
224,201.80243803424707
228,287.05859334121413
232,279.8788987798138
236,362.54050227360875
240,256.91688397862754
244,259.37880332616527
248,272.4702739047695
252,272.56685223641176
256,161.16398034642407
260,254.79063140907724
264,304.58364020876394
268,261.7546450100828
272,324.37659384108025
276,270.2358005075734
280,311.50737584033726
284,256.3721347697463
288,234.62180494774242
292,285.92470090060226
296,265.4961231706486
300,250.88706308662586
304,319.87657528799843
308,293.0373805429876
312,181.52693624736787
316,175.33040640424082
320,281.3654635470288
324,258.4418465719677
328,394.1374266408529
332,302.9969466786993
336,215.37885905280262
340,291.48212921192396
344,258.7749224928127
348,266.67432256367744
352,249.22508511977023
356,229.3097406692829
360,287.91284063864026
364,401.2784900501279
368,319.5292045865086
372,288.65243688281356
376,273.07154738753775
380,331.7135984180327
384,195.2097273968681
388,358.9178480018855
392,315.824878626063
396,188.00994193738833
400,290.2210093161184
404,308.22999151413757
408,288.82207608350643
412,195.66169600868145
416,198.12100646194637
420,306.9688106308347
424,328.54009561944684
428,266.4551349222707
432,251.26833712010588
436,331.1356300710969
440,240.49474399651209
444,285.9658353738127
448,291.86353959422706
452,296.1429925411822
456,264.43248813255826
460,292.95088033308366
464,326.21519976261726
468,389.86529411703066
472,314.3689880213884
476,380.02587017963583
480,281.124257185258
484,359.31201777742587
488,252.24000329846177
492,282.1717427417802
496,276.6740432798027
500,321.12566801632454
504,374.2250640596351
508,366.30559766020167
512,335.6621625637619
516,307.1117179933262
520,182.4256436901924
524,252.56027409856074
528,337.21999902806454
532,308.36121183563523
536,255.87624743883953
540,235.51420013461816
544,424.1454265961508
548,297.2087793133549
552,260.2165521855135
556,343.24312150693584
560,350.3002248347397
564,242.4207827317554
568,221.14270340970157
572,361.26356313725273
576,267.49321611111037
580,295.4059417629087
584,387.80688621664854
588,311.1930426286775
592,230.9238521707281
596,362.1814363733478
600,342.10505373155826
604,270.490074142681
608,216.11181949401214
612,312.62990281376517
616,294.0138948840021
620,255.03227763726045
624,359.8412082703558
628,288.50337120665466
632,235.75312621601333
636,263.9082845912518
640,262.4356991310488
644,258.0281341500045
648,285.78589764294213
652,307.8186051639622
656,206.9582169520876
660,312.46110638337956
664,266.1745980974704
668,306.6343327630566
672,310.95483088667436
676,364.08158899109907
680,295.16309476810954
684,297.712325377513
688,253.37577931681219
692,267.98004542746554
696,286.72456066580236
700,278.4931042696732
704,287.62649017161016
708,291.2239759763434
712,360.3321784457266
716,246.02409186731563
720,356.3861142514955
724,340.7588952351342
728,319.6636968106987
732,226.95804327509882
736,205.38357316701342
740,298.34405170178854
744,279.14315898116615
748,233.65889379260662
752,325.88268683997774
756,250.5747998824053
760,246.74435464374972
764,290.15454556172966
768,237.5062050350456
772,272.12110035897604
776,295.41514592058326
780,304.41314533953715
784,246.98969961827927
788,280.81837870807885
792,290.22880158586906
796,236.35545909527298
800,355.19543976198077
804,299.14621490956324
808,242.846619670003
812,271.52614777804956
816,248.7230789203179
820,355.59002895076713
824,249.4718593934017
828,307.5545683456612
832,190.1289074757376
836,283.86447127841507
840,283.26662703116415
844,241.27437017000497
848,276.73014476008433
852,279.4121899545744
856,242.18764561536818
860,274.4947549762316
864,275.2916745506154
868,277.50950191228327
872,190.58720853932553
876,234.26695757267885
880,266.32930022979406
884,284.06589207474093
888,234.0190466319906
892,284.330187587752
896,233.86679745708906
900,356.9325839126049
904,224.62088645675502
908,214.3120353635984
912,367.35478946127483
916,298.7941516391012
920,240.40568312696436
924,286.1922820543571
928,331.3778278291078
932,272.812328361093
936,285.7370520939873
940,263.66136110822265
944,312.31794308270054
948,284.59190758476075
952,275.49221488529594
956,328.81777557340354
960,275.8198004002879
964,229.05068414239432
968,288.3038314341087
972,262.15682779900806
976,331.7836371315018
980,241.30014474369332
984,273.81354379238024
988,329.19827274595485
992,303.424588667337
996,287.5430224975961
1000,203.0567862850332
1004,364.551925409532
1008,300.83029277799204
1012,331.23914558422626
1016,264.9579827592367
1020,365.2574837126493
1024,319.78697967140545
1028,263.2210466453502
1032,267.4672207616921
1036,326.28756830430655
1040,283.4747344434259
1044,355.11922640288697
1048,264.6241151890347
1052,293.56920596836125
1056,273.66199623051716
1060,246.78339194215516
1064,296.91307503008164
1068,279.7795626920736
1072,300.25910229416263
1076,300.07262755971743
1080,246.893422977098
1084,273.2355122517194
1088,267.67468688584137
1092,223.3046960734182
1096,243.0390473201258
1100,307.0527618297803
1104,370.5624818675912
1108,264.0775190105924
1112,253.34486561748645
1116,370.9929864944818
1120,377.0623515432599
1124,334.03849206023335
1128,235.15632776648914
1132,240.7497663446764
1136,170.2105656034361
1140,307.69113900198755
1144,256.0466191044961
1148,295.1327439904548
1152,259.0125656745807
1156,307.08798473576235
1160,306.0905457679211
1164,224.17034679475526
1168,278.32192621565605
1172,347.1691328929896
1176,327.73345068119517
1180,200.87327313820464
1184,350.1646785435554
1188,298.0877703639579
1192,233.15325342895832
1196,211.94821610118294
1200,288.1165256469807
1204,322.2062346425599
1208,287.6267243768858
1212,234.11643651212128
1216,344.17935051907074
1220,201.82256545104497
1224,260.6696976032086
1228,271.35275730093196
1232,200.08079866285743
1236,294.59515501657506
1240,237.79642451722236
1244,274.21177168723887
1248,310.03758871800784
1252,290.2610193531914
1256,326.57453770285605
1260,219.34554980825425
1264,207.1143774741116
1268,224.86626714259657
1272,242.24800929583654
1276,237.85554959267972
1280,342.0766043209902
1284,296.47658933619147
1288,389.569234416467
1292,267.089364140866
1296,294.94118389638686
1300,225.19501401188927
1304,265.3906169326919
1308,198.99563990932992
1312,277.78906139745555
1316,249.10977054213907
1320,255.67530715888628
1324,232.77979292365097
1328,322.05286025965836
1332,287.6656270354566
1336,291.3425716322492
1340,172.5537451527799
1344,256.0919517506927
1348,355.4586267025614
1352,173.94246064419838
1356,251.63987981215868
1360,314.99736155176885
1364,104.50242265991926
1368,241.22776074548688
1372,149.63436080039958
1376,415.43411646493945
1380,227.2994368876617
