round,ch_count
1,4
2,5
3,4
4,8
5,6
6,11
7,7
8,9
9,13
10,9
11,8
12,9
13,21
14,16
15,27
16,26
17,33
18,49
19,38
20,4
21,3
22,4
23,6
24,6
25,7
26,9
27,8
28,7
29,11
30,7
31,14
32,18
33,20
34,17
35,18
36,40
37,47
38,26
39,42
40,5
41,7
42,7
43,3
44,5
45,7
46,9
47,5
48,6
49,5
50,9
51,15
52,17
53,17
54,28
55,25
56,34
57,21
58,22
59,42
60,5
61,4
62,5
63,7
64,7
65,8
66,5
67,9
68,13
69,4
70,14
71,13
72,15
73,17
74,27
75,41
76,11
77,17
78,23
79,45
80,5
81,7
82,4
83,9
84,11
85,5
86,7
87,9
88,16
89,11
90,16
91,16
92,16
93,24
94,31
95,9
96,13
97,11
98,23
99,33
100,3
101,8
102,9
103,7
104,6
105,10
106,9
107,14
108,9
109,11
110,12
111,16
112,33
113,38
114,8
115,8
116,13
117,18
118,23
119,36
120,5
121,7
122,9
123,5
124,10
125,8
126,9
127,13
128,14
129,14
130,27
131,21
132,44
133,6
134,11
135,16
136,8
137,18
138,22
139,33
140,9
141,4
142,10
143,5
144,13
145,9
146,15
147,7
148,19
149,25
150,20
151,35
152,1
153,8
154,9
155,10
156,16
157,19
158,22
159,33
160,9
161,8
162,8
163,11
164,11
165,8
166,15
167,22
168,17
169,28
170,37
171,4
172,6
173,15
174,14
175,15
176,14
177,19
178,24
179,36
180,10
181,9
182,8
183,7
184,11
185,11
186,17
187,18
188,27
189,45
190,4
191,7
192,6
193,11
194,10
195,14
196,12
197,20
198,23
199,32
200,4
201,10
202,9
203,17
204,12
205,18
206,23
207,25
208,38
209,9
210,8
211,9
212,8
213,8
214,10
215,8
216,15
217,20
218,21
219,34
220,7
221,8
222,10
223,14
224,16
225,18
226,31
227,38
228,9
229,8
230,16
231,12
232,8
233,6
234,9
235,9
236,16
237,15
238,21
239,37
240,13
241,9
242,8
243,12
244,20
245,23
246,36
247,9
248,4
249,7
250,10
251,13
252,9
253,8
254,10
255,14
256,8
257,11
258,19
259,32
260,16
261,11
262,19
263,28
264,24
265,38
266,6
267,6
268,8
269,9
270,14
271,9
272,8
273,13
274,11
275,10
276,17
277,22
278,21
279,29
280,10
281,15
282,15
283,22
284,43
285,10
286,11
287,16
288,3
289,8
290,4
291,3
292,13
293,16
294,13
295,10
296,10
297,18
298,25
299,29
300,12
301,26
302,27
303,28
304,3
305,9
306,7
307,12
308,9
309,8
310,10
311,10
312,10
313,18
314,16
315,13
316,11
317,20
318,20
319,32
320,21
321,27
322,31
323,15
324,8
325,4
326,9
327,11
328,8
329,7
330,8
331,8
332,11
333,14
334,19
335,16
336,10
337,8
338,22
339,44
340,21
341,38
342,6
343,5
344,5
345,7
346,9
347,13
348,7
349,10
350,10
351,14
352,11
353,15
354,15
355,12
356,25
357,30
358,24
359,40
360,29
361,4
362,4
363,4
364,10
365,7
366,9
367,6
368,9
369,12
370,8
371,16
372,8
373,11
374,19
375,17
376,33
377,35
378,24
379,49
380,2
381,8
382,8
383,12
384,4
385,16
386,12
387,5
388,7
389,13
390,12
391,10
392,18
393,20
394,18
395,29
396,23
397,32
398,54
399,24
400,6
401,3
402,8
403,6
404,7
405,9
406,8
407,4
408,8
409,12
410,16
411,23
412,14
413,27
414,11
415,17
416,22
417,37
418,23
419,29
420,7
421,5
422,4
423,4
424,8
425,10
426,9
427,10
428,12
429,11
430,11
431,21
432,7
433,20
434,11
435,24
436,29
437,17
438,19
439,35
440,15
441,8
442,4
443,5
444,3
445,8
446,9
447,18
448,16
449,19
450,11
451,6
452,15
453,14
454,15
455,21
456,16
457,13
458,19
459,31
460,19
461,21
462,13
463,11
464,11
465,9
466,11
467,23
468,8
469,11
470,15
471,10
472,19
473,15
474,26
475,15
476,17
477,15
478,17
479,31
480,10
481,20
482,21
483,13
484,14
485,19
486,9
487,8
488,7
489,9
490,9
491,14
492,13
493,25
494,9
495,9
496,13
497,19
498,18
499,36
500,10
501,15
502,22
503,28
504,9
505,14
506,6
507,8
508,9
509,12
510,9
511,20
512,21
513,7
514,9
515,16
516,10
517,22
518,16
519,29
520,16
521,23
522,12
523,15
524,22
525,15
526,13
527,13
528,16
529,16
530,14
531,25
532,11
533,6
534,13
535,18
536,21
537,21
538,21
539,44
540,11
541,10
542,9
543,12
544,8
545,18
546,11
547,10
548,14
549,19
550,22
551,18
552,10
553,9
554,14
555,12
556,15
557,23
558,17
559,28
560,9
561,7
562,13
563,5
564,16
565,8
566,27
567,9
568,16
569,11
570,20
571,13
572,18
573,16
574,24
575,29
576,19
577,18
578,15
579,27
580,9
581,6
582,6
583,10
584,8
585,11
586,20
587,29
588,17
589,6
590,12
591,20
592,15
593,30
594,13
595,11
596,10
597,18
598,17
599,33
600,8
601,9
602,10
603,12
604,11
605,18
606,29
607,25
608,18
609,11
610,18
611,32
612,8
613,4
614,13
615,22
616,13
617,15
618,15
619,24
620,18
621,10
622,10
623,10
624,9
625,24
626,23
627,25
628,28
629,23
630,4
631,10
632,5
633,9
634,7
635,15
636,18
637,19
638,14
639,24
640,11
641,13
642,13
643,13
644,20
645,35
646,18
647,22
648,9
649,6
650,16
651,7
652,8
653,8
654,6
655,10
656,16
657,16
658,20
659,33
660,14
661,17
662,22
663,13
664,22
665,12
666,7
667,12
668,13
669,15
670,15
671,19
672,7
673,12
674,7
675,10
676,17
677,11
678,23
679,33
680,9
681,18
682,20
683,26
684,6
685,9
686,12
687,12
688,12
689,15
690,15
691,13
692,21
693,13
694,12
695,25
696,30
697,16
698,23
699,32
700,17
701,15
702,21
703,12
704,5
705,8
706,8
707,12
708,8
709,17
710,13
711,18
712,21
713,22
714,4
715,14
716,12
717,13
718,22
719,31
720,10
721,19
722,6
723,12
724,9
725,6
726,7
727,11
728,10
729,12
730,20
731,13
732,13
733,19
734,22
735,23
736,6
737,18
738,15
739,29
740,19
741,8
742,11
743,15
744,6
745,10
746,14
747,21
748,11
749,13
750,9
751,16
752,10
753,18
754,22
755,24
756,14
757,20
758,29
759,29
760,8
761,8
762,11
763,13
764,14
765,10
766,12
767,16
768,12
769,16
770,14
771,13
772,18
773,22
774,15
775,24
776,16
777,21
778,31
779,31
780,10
781,11
