round,mse
1,715.6260079228297
2,589.0874391527722
3,761.8400036082031
4,528.7176821737642
5,738.5174546685998
6,524.4860059624568
7,518.2943396871425
8,520.2824535159755
9,441.38060021024165
10,557.0956210344485
11,641.4254606640642
12,564.4504274661862
13,382.2116864755136
14,490.0308727886791
15,252.9160292454388
16,306.8109122203473
17,277.89601729088093
18,225.1135832638958
19,209.80533042486024
20,598.1250513872751
21,694.83375778332
22,841.1683843931396
23,523.2709907214975
24,527.2301686730167
25,562.6616937948075
26,517.2976741090421
27,615.1090755767293
28,468.1618159131579
29,432.9068473808202
30,549.6155888601652
31,440.1981075262605
32,331.6429603531734
33,397.5638220000199
34,506.64175456167516
35,469.7618293285614
36,261.737466390599
37,156.53302722338861
38,262.89091144262784
39,212.49355415213932
40,780.8884748788598
41,538.7675429980998
42,542.4371907968953
43,843.7334497410178
44,545.7826764523488
45,540.7683513489022
46,480.7072661900888
47,606.729811197866
48,509.6950875662441
49,558.0688085401844
50,539.2145106003702
51,331.1450419049309
52,472.63932784808907
53,468.8997366375577
54,367.0315450792769
55,394.5421576559931
56,265.04010688983254
57,451.0444873933635
58,382.5430557601002
59,244.4261821507607
60,610.4289785339018
61,593.6391788315826
62,640.4175602447647
63,549.2535734124313
64,554.4227570961227
65,563.9763750207293
66,778.112985225885
67,486.48109188040104
68,443.8102751091538
69,544.799847042174
70,488.8123641305784
71,454.4880123943506
72,465.43981971551807
73,499.6019758290542
74,316.9869942965438
75,245.65504145969228
76,437.8005345671206
77,467.79773102162943
78,282.8273145669544
79,131.67377532726755
80,515.0353876992423
81,626.7879593884343
82,684.8635751597699
83,559.5972938011622
84,405.4021428231332
85,543.3329630421309
86,471.5645564145198
87,577.172102087387
88,521.4098458095621
89,540.9482270085068
90,430.27910375774167
91,445.54479027768156
92,392.2344021754446
93,362.220119113238
94,353.09969550324587
95,439.8938155377785
96,466.39647307760265
97,403.50984180293983
98,412.04433068450766
99,266.87317376189236
100,591.0837283662544
