round,alive_nodes
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,100
332,100
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,100
350,100
351,100
352,100
353,100
354,100
355,100
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,100
383,100
384,100
385,100
386,100
387,100
388,100
389,100
390,100
391,100
392,100
393,100
394,100
395,100
396,100
397,100
398,100
399,100
400,100
401,100
402,100
403,100
404,100
405,100
406,100
407,100
408,100
409,100
410,100
411,100
412,100
413,100
414,100
415,100
416,100
417,100
418,100
419,100
420,100
421,100
422,100
423,100
424,100
425,100
426,100
427,100
428,100
429,100
430,100
431,100
432,100
433,100
434,100
435,100
436,100
437,100
438,100
439,100
440,100
441,100
442,100
443,100
444,100
445,100
446,100
447,100
448,100
449,100
450,100
451,100
452,100
453,100
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,100
462,100
463,100
464,100
465,100
466,100
467,100
468,100
469,100
470,100
471,100
472,100
473,100
474,100
475,100
476,100
477,100
478,100
479,100
480,100
481,100
482,100
483,100
484,100
485,100
486,100
487,100
488,100
489,100
490,100
491,100
492,100
493,100
494,100
495,100
496,100
497,100
498,100
499,100
500,100
501,100
502,100
503,100
504,100
505,100
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,100
526,100
527,100
528,100
529,100
530,100
531,100
532,100
533,100
534,100
535,100
536,100
537,100
538,100
539,100
540,100
541,100
542,100
543,100
544,100
545,100
546,100
547,100
548,100
549,100
550,100
551,100
552,100
553,100
554,100
555,100
556,100
557,100
558,100
559,100
560,100
561,100
562,100
563,100
564,100
565,100
566,100
567,100
568,100
569,100
570,100
571,100
572,100
573,100
574,100
575,100
576,100
577,100
578,100
579,100
580,100
581,100
582,100
583,100
584,100
585,100
586,100
587,100
588,100
589,100
590,100
591,100
592,100
593,100
594,100
595,100
596,100
597,100
598,100
599,100
600,100
601,100
602,100
603,100
604,100
605,100
606,100
607,100
608,100
609,100
610,100
611,100
612,100
613,100
614,100
615,100
616,100
617,100
618,100
619,100
620,100
621,100
622,100
623,100
624,100
625,100
626,100
627,100
628,100
629,100
630,100
631,100
632,100
633,100
634,100
635,100
636,100
637,100
638,100
639,100
640,100
641,100
642,100
643,100
644,100
645,100
646,100
647,100
648,100
649,100
650,100
651,100
652,100
653,100
654,100
655,100
656,100
657,100
658,100
659,100
660,100
661,100
662,100
663,100
664,100
665,100
666,100
667,100
668,100
669,100
670,100
671,100
672,100
673,100
674,100
675,100
676,100
677,100
678,100
679,100
680,100
681,100
682,100
683,100
684,100
685,100
686,100
687,100
688,100
689,100
690,100
691,100
692,100
693,100
694,100
695,100
696,100
697,100
698,100
699,100
700,100
701,100
702,100
703,100
704,100
705,100
706,100
707,100
708,100
709,100
710,100
711,100
712,100
713,100
714,100
715,100
716,100
717,100
718,100
719,100
720,100
721,100
722,100
723,100
724,100
725,100
726,100
727,100
728,100
729,100
730,100
731,100
732,100
733,100
734,100
735,100
736,100
737,100
738,100
739,100
740,100
741,100
742,100
743,100
744,100
745,100
746,100
747,100
748,100
749,100
750,100
751,100
752,100
753,100
754,100
755,100
756,100
757,100
758,100
759,100
760,100
761,100
762,100
763,100
764,100
765,100
766,100
767,100
768,100
769,100
770,100
771,100
772,100
773,100
774,100
775,100
776,100
777,100
778,100
779,100
780,100
781,100
782,100
783,100
784,100
785,100
786,100
787,100
788,100
789,100
790,100
791,100
792,100
793,100
794,100
795,100
796,100
797,100
798,100
799,100
800,100
801,100
802,100
803,100
804,100
805,100
806,100
807,100
808,100
809,100
810,100
811,100
812,100
813,100
814,100
815,100
816,100
817,100
818,100
819,100
820,100
821,100
822,100
823,100
824,100
825,100
826,100
827,100
828,100
829,100
830,100
831,100
832,100
833,100
834,100
835,100
836,100
837,100
838,100
839,100
840,100
841,100
842,100
843,100
844,100
845,100
846,100
847,100
848,100
849,100
850,100
851,100
852,100
853,100
854,100
855,100
856,100
857,100
858,100
859,100
860,100
861,100
862,100
863,100
864,100
865,100
866,100
867,100
868,100
869,100
870,100
871,100
872,100
873,100
874,100
875,100
876,100
877,100
878,100
879,100
880,100
881,100
882,100
883,100
884,100
885,100
886,100
887,100
888,100
889,100
890,100
891,100
892,100
893,100
894,100
895,100
896,100
897,100
898,100
899,100
900,100
901,100
902,100
903,100
904,100
905,100
906,100
907,100
908,100
909,100
910,100
911,100
912,100
913,100
914,100
915,100
916,100
917,100
918,100
919,100
920,100
921,100
922,100
923,100
924,100
925,100
926,100
927,100
928,100
929,100
930,100
931,100
932,100
933,100
934,100
935,100
936,100
937,100
938,100
939,100
940,100
941,100
942,100
943,100
944,100
945,100
946,100
947,100
948,100
949,100
950,100
951,100
952,100
953,100
954,100
955,100
956,100
957,100
958,100
959,100
960,100
961,100
962,100
963,100
964,100
965,100
966,100
967,100
968,100
969,100
970,100
971,100
972,100
973,100
974,100
975,100
976,100
977,100
978,100
979,100
980,100
981,100
982,100
983,100
984,100
985,100
986,100
987,100
988,100
989,100
990,100
991,100
992,100
993,100
994,100
995,100
996,100
997,100
998,100
999,100
1000,100
1001,100
1002,100
1003,100
1004,100
1005,100
1006,100
1007,100
1008,100
1009,100
1010,100
1011,100
1012,100
1013,100
1014,100
1015,100
1016,100
1017,100
1018,100
1019,100
1020,100
1021,100
1022,100
1023,100
1024,100
1025,100
1026,100
1027,100
1028,100
1029,100
1030,100
1031,100
1032,100
1033,100
1034,100
1035,100
1036,100
1037,100
1038,100
1039,100
1040,100
1041,100
1042,100
1043,100
1044,100
1045,100
1046,100
1047,100
1048,99
1049,99
1050,99
1051,99
1052,99
1053,99
1054,99
1055,99
1056,99
1057,99
1058,99
1059,99
1060,99
1061,99
1062,99
1063,99
1064,99
1065,99
1066,99
1067,99
1068,99
1069,99
1070,99
1071,99
1072,99
1073,99
1074,99
1075,99
1076,99
1077,99
1078,99
1079,99
1080,99
1081,99
1082,99
1083,99
1084,99
1085,99
1086,99
1087,99
1088,99
1089,99
1090,99
1091,99
1092,99
1093,99
1094,99
1095,99
1096,99
1097,99
1098,99
1099,99
1100,99
1101,99
1102,99
1103,99
1104,99
1105,99
1106,99
1107,99
1108,99
1109,99
1110,99
1111,99
1112,99
1113,99
1114,99
1115,99
1116,99
1117,99
1118,99
1119,99
1120,99
1121,99
1122,99
1123,99
1124,98
1125,98
1126,98
1127,97
1128,97
1129,97
1130,97
1131,97
1132,97
1133,97
1134,97
1135,97
1136,97
1137,97
1138,97
1139,97
1140,97
1141,97
1142,97
1143,97
1144,97
1145,97
1146,97
1147,97
1148,97
1149,97
1150,97
1151,97
1152,97
1153,97
1154,97
1155,97
1156,97
1157,97
1158,97
1159,97
1160,97
1161,97
1162,97
1163,97
1164,97
1165,97
1166,97
1167,97
1168,97
1169,97
1170,97
1171,96
1172,96
1173,96
1174,96
1175,96
1176,96
1177,96
1178,96
1179,96
1180,96
1181,96
1182,96
1183,96
1184,96
1185,96
1186,96
1187,96
1188,96
1189,96
1190,96
1191,96
1192,96
1193,96
1194,96
1195,96
1196,96
1197,96
1198,96
1199,96
1200,96
1201,96
1202,96
1203,96
1204,96
1205,96
1206,96
1207,96
1208,96
1209,96
1210,95
1211,95
1212,95
1213,95
1214,95
1215,95
1216,94
1217,94
1218,94
1219,94
1220,94
1221,94
1222,94
1223,94
1224,94
1225,94
1226,94
1227,94
1228,94
1229,94
1230,94
1231,94
1232,94
1233,94
1234,94
1235,94
1236,94
1237,94
1238,94
1239,94
1240,94
1241,94
1242,93
1243,93
1244,93
1245,93
1246,93
1247,93
1248,93
1249,93
1250,93
1251,93
1252,93
1253,93
1254,92
1255,92
1256,92
1257,92
1258,92
1259,92
1260,92
1261,91
1262,90
1263,90
1264,90
1265,90
1266,90
1267,90
1268,90
1269,90
1270,90
1271,90
1272,90
1273,90
1274,89
1275,89
1276,89
1277,89
1278,89
1279,89
1280,89
1281,89
1282,89
1283,89
1284,88
1285,87
1286,87
1287,87
1288,87
1289,87
1290,87
1291,86
1292,86
1293,86
1294,86
1295,86
1296,85
1297,85
1298,85
1299,85
1300,85
1301,85
1302,85
1303,85
1304,84
1305,84
1306,84
1307,84
1308,84
1309,84
1310,84
1311,84
1312,84
1313,84
1314,84
1315,84
1316,84
1317,84
1318,84
1319,84
1320,84
1321,84
1322,84
1323,84
1324,84
1325,84
1326,84
1327,84
1328,84
1329,84
1330,84
1331,84
1332,84
1333,84
1334,84
1335,84
1336,83
1337,83
1338,83
1339,83
1340,82
1341,82
1342,81
1343,81
1344,80
1345,80
1346,80
1347,80
1348,79
1349,79
1350,79
1351,79
1352,79
1353,79
1354,79
1355,79
1356,79
1357,79
1358,79
1359,79
1360,78
1361,78
1362,78
1363,77
1364,77
1365,76
1366,76
1367,75
1368,75
1369,75
1370,75
1371,75
1372,74
1373,74
1374,74
1375,73
1376,73
1377,72
1378,72
1379,72
1380,72
1381,72
1382,72
1383,72
1384,72
1385,72
1386,72
1387,72
1388,71
1389,71
1390,70
1391,68
1392,68
1393,68
1394,67
1395,67
1396,66
1397,66
1398,64
1399,63
1400,63
1401,63
1402,63
1403,61
1404,60
1405,60
1406,60
1407,60
1408,60
1409,60
1410,60
1411,60
1412,60
1413,60
1414,60
1415,60
1416,60
1417,59
1418,59
1419,59
1420,58
1421,58
1422,58
1423,58
1424,58
1425,58
1426,58
1427,58
1428,58
1429,58
1430,58
1431,58
1432,58
1433,58
1434,57
1435,57
1436,57
1437,57
1438,57
1439,57
1440,57
1441,56
1442,55
1443,55
1444,55
1445,55
1446,55
1447,55
1448,55
1449,55
1450,55
1451,55
1452,55
1453,55
1454,54
1455,54
1456,54
1457,54
1458,54
1459,54
1460,53
1461,53
1462,52
1463,52
1464,52
1465,51
1466,51
1467,51
1468,51
1469,50
1470,49
1471,48
1472,48
1473,48
1474,48
1475,48
1476,48
1477,48
1478,48
1479,48
1480,48
1481,47
1482,47
1483,47
1484,47
1485,47
1486,47
1487,47
1488,46
1489,46
1490,46
1491,46
1492,46
1493,46
1494,46
1495,46
1496,46
1497,46
1498,45
1499,44
1500,44
1501,44
1502,44
1503,44
1504,44
1505,43
1506,43
1507,43
1508,42
1509,42
1510,42
1511,42
1512,42
1513,42
1514,41
1515,41
1516,41
1517,40
1518,40
1519,40
1520,40
1521,40
1522,40
1523,40
1524,39
1525,39
1526,39
1527,39
1528,39
1529,39
1530,39
1531,39
1532,39
1533,38
1534,38
1535,38
1536,37
1537,36
1538,36
1539,35
1540,34
1541,33
1542,33
1543,33
1544,33
1545,33
1546,33
1547,32
1548,32
1549,32
1550,32
1551,32
1552,32
1553,32
1554,31
1555,31
1556,31
1557,31
1558,31
1559,31
1560,31
1561,31
1562,30
1563,30
1564,30
1565,30
1566,30
1567,30
1568,30
1569,29
1570,29
1571,29
1572,29
1573,29
1574,29
1575,29
1576,29
1577,29
1578,29
1579,29
1580,29
1581,28
1582,28
1583,28
1584,28
1585,28
1586,28
1587,28
