round,mse
1,366.8747163521684
2,421.47364378243856
3,410.929468798406
4,347.1407599228095
5,467.1689455629272
6,383.9505339929095
7,419.8531234619595
8,424.6552304259445
9,453.5505047710059
10,384.25068143569473
11,391.7478197251032
12,392.944186564054
13,350.78205521480186
14,411.8459930443488
15,428.4211007967103
16,367.3925064286623
17,467.22182505758093
18,376.1594267741902
19,398.1958613057079
20,399.13657807782505
21,397.2980241707325
22,419.7900174186945
23,391.3776397487832
24,388.81360309995944
25,400.00479345162637
26,449.5917335964459
27,396.6958972607596
28,447.0895503769481
29,401.7159766315812
30,422.49487866654334
31,395.08336558896366
32,395.9122120821183
33,442.76829776834865
34,392.10754932550185
35,373.1772612939181
36,434.3848460214357
37,373.8891130792965
38,402.30517256631725
39,387.74171199306846
40,407.81880332829945
41,416.6308974302174
42,464.7954415565397
43,359.33772817344123
44,422.94994101156936
45,422.1027934846055
46,360.22965408111827
47,418.1757172831083
48,457.748029655706
49,391.33568021575843
50,380.92484964978087
51,453.7429919064547
52,398.90908358162636
53,435.4843731580487
54,406.19756517389635
55,371.7067263977075
56,449.1299234416568
57,387.6732066359377
58,428.7891002449516
59,426.31075000571155
60,391.9600284592469
61,366.78777242286935
62,426.58575393173203
63,442.4298435035927
64,414.16176952641035
65,391.64571209139154
66,410.402492674512
67,437.7498100503688
68,413.6072354376126
69,481.26747543566137
70,372.83304366802656
71,419.5157052257567
72,421.0501075104439
73,393.70341133366554
74,398.8004038297613
75,395.1568824046364
76,411.1753954844802
77,418.4324679572871
78,356.06712836495
79,357.8265186959243
80,389.3521585914765
81,400.2263575358073
82,435.2432800253443
83,385.5513041977961
84,456.3427754253095
85,398.0273999670604
86,433.5652583822227
87,398.8532732639186
88,413.71094548859264
89,380.7432805474574
90,452.7127869358943
91,384.67197675899376
92,395.5780167350366
93,428.31664066999366
94,385.2413088908675
95,403.8442247571274
96,431.27283533929784
97,361.4290373518919
98,379.7342425753538
99,408.6494559282758
100,411.0792068045363
101,419.06784509945976
102,399.5976945487439
103,439.8759522567055
104,371.33889747585835
105,427.9542861231319
106,394.40174946971877
107,411.52731371928405
108,407.51105920146284
109,448.1648972180815
110,491.5895113741267
111,372.4243546874647
112,411.0959133898452
113,409.78843820552095
114,416.4922862908802
115,374.75587125991035
116,414.81564714697197
117,400.28108606580156
118,378.3447438636116
119,379.81713188933935
120,399.83268864786515
121,354.8271781409752
122,392.13566270469556
123,425.85782727129225
124,418.8134306800699
125,363.3445912085584
126,426.1163290968805
127,407.1036427555898
128,388.927217213322
129,376.3549606017893
130,413.7271368377077
131,373.45220713252377
132,393.1353519900729
133,349.1578504237875
134,414.89566194506017
135,420.99541950492096
136,394.87680432255723
137,385.2758651647732
138,381.16079144785874
139,408.0090065076369
140,385.5412901091652
141,407.24264655802125
142,459.1400306269141
143,496.8651054201102
144,447.26683473890444
145,316.1804967524429
146,359.8557030536899
147,397.27830569884594
148,405.90940543757335
149,390.5397682150882
150,366.1336791365635
151,494.520118056857
152,404.900548720997
153,371.7580651732365
154,395.6276291454716
155,441.3054006930899
156,378.955144282124
157,395.5515553164398
158,456.44955094764885
159,397.42933300160206
160,523.6205508765449
161,390.45980367372005
162,428.1400128422048
163,397.30644639629327
164,478.7232482758336
165,389.4852340168209
166,445.2784144717892
167,435.4874743943493
168,389.1898306793292
169,374.5960586698858
170,434.4053092687185
171,425.45700292381736
172,426.5600213540294
173,369.70593283381163
174,413.0599137426719
175,405.8804846025773
176,385.59388108948934
177,413.50093985449377
178,349.15147569145
179,389.4618158909186
180,374.25721888407287
181,435.78112518446676
182,456.5263096765858
183,392.9791203575869
184,400.2950601721065
185,415.3746343660073
186,396.15970801351875
187,412.5417452533876
188,416.5527800294259
189,422.2958033587046
190,361.70848121486904
191,454.5140412958138
192,470.8987379654306
193,444.4335798935199
194,423.81068501558195
195,412.283110251596
196,440.39115982076856
197,383.65880275200664
198,399.74449082410285
199,399.71153728181827
200,363.2710150803585
201,378.59326875607087
202,382.67241740395576
203,406.1751064357293
204,394.02035376473884
205,419.681139424166
206,454.33290104125143
207,436.11189913520667
208,394.45127822074676
209,386.735093606202
210,391.15676431609523
211,428.52661418125
212,488.78593210331826
213,387.5263962086759
214,368.8555512426272
215,460.02170315718985
216,394.1859566044209
217,406.412333962411
218,400.9752208969833
219,419.9107424195551
220,433.1672105767845
221,355.3878643444271
222,399.74951411650306
223,421.61818609444873
224,407.7101153353184
225,405.8889640362011
226,452.1138529017347
227,438.68822320172814
228,392.8166303720908
229,421.2752633407898
230,412.32287447725076
231,417.3604593521194
232,422.79909914514235
233,499.9869047300746
234,379.0305409734796
235,376.2376135044952
236,396.3675698343731
237,454.1134032140961
238,416.76511269852233
239,389.48023567022267
240,374.3324326486449
241,433.6655111869219
242,395.4455550304461
243,421.2325726670518
244,453.4111219229647
245,428.9614663797587
246,388.21440704975964
247,408.6561488579324
248,458.6376785875028
249,377.508242431266
250,350.91186441105384
251,430.78130936456074
252,378.5400864243719
253,403.7073791644057
254,421.9128459585278
255,458.52766909354085
256,446.5598800535273
257,397.69756418119675
258,398.3221736895766
259,460.20635311098215
260,386.8116954104306
261,429.8660043084712
262,398.3323445684859
263,385.90402028688925
264,471.8710107824536
265,452.0363493629623
266,343.52636744735844
267,418.1080604710317
268,463.2005548325301
269,456.31248568405636
270,443.56754870453216
271,433.97430558617896
272,408.12671189171533
273,389.3388090538533
274,368.2723860673007
275,444.20531301948085
276,458.0758247068201
277,367.7960684946333
278,402.3171163033747
279,402.91753558455747
280,424.3853643876547
281,467.5433685243162
282,421.46884026585747
283,475.329899862139
284,458.53376211818215
285,391.43427654638793
286,402.21615588671114
287,360.62020335886046
288,405.8987968669829
289,429.6336626825429
290,431.9058708396768
291,435.0708233291606
292,369.60152666000414
293,410.8010947963914
294,389.76157204610973
295,414.7826783484241
296,442.02949628920504
297,414.50525078430945
298,430.5166397381543
299,479.16130007734574
300,408.3380278571093
301,368.21764668746675
302,405.0532914990887
303,426.74220203379366
304,424.13868926104044
305,391.08526294831444
306,394.2947643619413
307,432.48773546128785
308,416.70416623760684
309,430.53390865972585
310,411.21364597170157
311,423.7926623105776
312,378.9304978009715
313,388.1251449389367
314,429.6682234122354
315,443.10108499460785
316,381.46393615586555
317,416.6576690284666
318,389.76089880833166
319,448.2542100305939
320,430.7161469178627
321,449.6206019636934
322,418.5390483903525
323,430.36707861265234
324,417.0142976119622
325,419.16198927926536
326,421.7983842816915
327,422.6781599641828
328,441.05461867404244
329,514.8147176407826
330,368.3369491795221
331,398.9413049412723
332,434.4703065171017
333,474.99425645628554
334,464.6804025727396
335,411.0780344205765
336,416.90821239724426
337,412.54046165633065
338,446.06786145899315
339,390.57136584585203
340,408.8347733122939
341,494.8214789847574
342,396.1877667621006
343,388.3906329292803
344,458.2389048905944
345,399.6264731316548
346,416.011519647624
347,456.9142431469372
348,412.98517678247055
349,441.66807454075814
350,414.49649002403913
351,403.0179322506116
352,454.76193147300967
353,451.85416706709486
354,391.1420467640545
355,395.1298430430528
356,416.7340411132873
357,390.01769426331265
358,434.0528208973513
359,363.39439551698547
360,381.99293200111225
361,427.58141724562154
362,422.81820020040504
363,424.8233889765878
364,395.26900830468827
365,425.94528666662745
366,392.26411455797023
367,392.1992256314375
368,447.0413228610734
369,431.2610876806768
370,447.4226313904096
371,432.7099814231897
372,430.26640487786597
373,383.7947057965202
374,435.1873431063001
375,444.2378275360319
376,400.70302102238855
377,409.167330594658
378,490.4696186455905
379,419.91866136118944
380,390.7249386824505
381,457.5026552163857
382,453.39198140635847
383,419.30447514431296
384,433.421738751366
385,379.9865872158357
386,399.00134263798026
387,373.74741120172814
388,430.75237108553574
389,506.44844011497815
390,403.2058044457357
391,418.38466537355305
392,421.07854447244955
393,408.2327574691152
394,364.52517842233897
395,440.60890951255595
396,355.25510752204593
397,451.1716160527755
398,385.8024513328031
399,437.3698390099876
400,422.38971163485974
401,440.638968643441
402,362.671350104653
403,389.73076053690727
404,374.7281145107019
405,447.6069504564067
406,388.1226514896575
407,408.70847438619705
408,422.2822103813063
409,496.5872196646336
410,351.33568696661376
411,413.1301385545188
412,390.86666305478013
413,432.88217131936807
414,406.8861832463675
415,390.38364527528506
416,425.8317720724279
417,399.73630576496197
418,424.5109144628912
419,423.3050650523702
420,438.0636634297055
421,392.8761017984526
422,349.3782055015706
423,380.1663609215428
424,416.57730645614504
425,419.898021213968
426,419.4385139635282
427,426.2140974985902
428,371.96046934344065
429,409.62871261854997
430,416.4341368426761
431,409.02549028361267
432,424.4874660191308
433,387.9573614934894
434,487.7958160778253
435,411.5781178457434
436,450.3428964870112
437,503.59247415768476
438,372.5341125649637
439,474.8949510960221
440,365.97020937996524
441,445.148933274448
442,384.2022988360542
443,401.8212205939826
444,468.30373001770187
445,435.14023048115894
446,380.4463819262922
447,389.6068629822804
448,406.4897280944629
449,376.9790649882435
450,413.89327230143124
451,412.37188430579573
452,377.86402130738065
453,393.93696031486104
454,419.22422594983635
455,376.5804752639989
456,410.6738401246604
457,372.15593228044906
458,398.8824451679196
459,422.0402646267618
460,457.024095009974
461,386.7377518202928
462,360.2600794687851
463,424.3519056263898
464,410.06179016566523
465,440.01907146710784
466,431.73377092422305
467,442.94215585605906
468,402.9430536540241
469,429.65409233672136
470,386.85941749614324
471,422.3667754185024
472,418.0389793391361
473,363.9246418641379
474,457.5668653698557
475,384.2699990928897
476,412.01305006181093
477,395.48946436013256
478,410.9617268658127
479,369.8700426245316
480,482.9990486759093
481,428.0001199660869
482,441.5034888034832
483,375.36035437168005
484,364.24361863713943
485,382.0122276618426
486,347.7177412158586
487,403.78222481926224
488,454.1051272112626
489,468.4887369028067
490,404.2423730811521
491,426.9396170128108
492,412.1080703043309
493,382.36504557521465
494,375.0872174738932
495,378.7273800505892
496,408.3167934974111
497,374.86928493147053
498,383.4052107760874
499,441.30727583381093
500,405.574474857955
501,395.05362727317697
502,355.69107859651695
503,420.83399864236355
504,399.28445113969065
505,418.39232016639414
506,381.0937379476401
507,356.7955033264049
508,439.1745349705564
509,402.1847331809872
510,409.4393851191691
511,430.2437677116648
512,398.22268499107776
513,422.1566771729176
514,417.47236212883536
515,400.27266234156525
516,463.5836468673545
517,463.143980423401
518,402.95770818454804
519,413.2077784735446
520,431.8776970407512
521,401.73555144962853
522,470.96127099114835
523,425.25661006688495
524,462.0996741953717
525,419.0438007877527
526,420.4186650419999
527,392.05707067447923
528,425.74082559926
529,402.23139878849827
530,423.14378021683143
531,372.93890064288144
532,406.86659963271245
533,352.05592585938126
534,438.0245807153207
535,407.6111460884662
536,400.1498897682868
537,463.317659044969
538,397.3766904196155
539,387.08864650789536
540,397.59114915818634
541,376.99863630576925
542,395.38754043772343
543,486.6617876619848
544,495.0858793041351
545,376.8589672892423
546,358.09554386671783
547,420.4028338636432
548,408.8500942320456
549,400.40085413813824
550,387.83604445901
551,366.0775662126953
552,414.797548033316
553,471.07142468257223
554,384.77394923777035
555,448.07331131900946
556,468.51752581212884
557,380.7968829842053
558,442.2514205156866
559,434.31298134553646
560,426.16841336094285
561,374.81383205675945
562,469.7219785640785
563,429.37057624102016
564,386.2220857822571
565,440.97186331630365
566,437.6979047933223
567,405.2340903742416
568,470.26161270181746
569,399.19951385691996
570,355.6682790860287
571,454.50874423352104
572,399.40140276551847
573,451.9858788962273
574,361.6305289394892
575,456.72733681576244
576,406.51548324434583
577,424.656086582553
578,414.0378046165607
579,414.15125748390545
580,454.58425512244077
581,417.0118547324663
582,407.40632259619497
583,431.6906427269775
584,472.50498254094634
585,495.42423061729204
586,430.0626364248554
587,443.0459257349445
588,409.11824834326734
589,390.77945739393465
590,413.93791067627797
591,415.5067336403662
592,449.8846765037162
593,410.85119334547716
594,396.7879394965406
595,416.9375976552654
596,361.1809387542127
597,414.2360879328735
598,412.07735460108717
599,441.5334836600231
600,419.55565686738237
601,376.39701541094365
602,416.6884640564355
603,405.2060191360136
604,502.55647229517507
605,488.82396237282893
606,419.6319948833567
607,423.2912289969935
608,375.10416146139767
609,497.59695168511473
610,433.26322039834685
611,479.3844281045949
612,462.7258353653557
613,406.9108783128081
614,478.4864726373891
615,389.04079928294294
616,441.230037387894
617,427.8553002863945
618,505.79597165834946
619,410.8348320867943
620,412.4709567959997
621,447.5427151072464
622,469.3284786757834
623,396.34191067600807
624,381.7578936046376
625,440.280508591279
626,447.02230179283686
627,441.02604753587866
628,392.45974058450054
629,478.0905242171487
630,342.15558288491815
631,439.33327199693014
632,437.3608885246611
633,402.366293747844
634,434.06657664755767
635,401.69337241878657
636,387.5452045587477
637,363.83816563189987
638,379.90464668920697
639,389.8923040718807
640,370.16733636507263
641,394.9328199098412
642,445.62657390770767
643,437.1125043261421
644,419.57132838454265
645,425.3598287806326
646,411.74716930382704
647,452.39592520955574
648,416.74448077382687
649,466.5593470704346
650,443.7033245815106
651,433.61991989770576
652,360.479266235072
653,406.1403562221081
654,393.20230351958526
655,387.24735712159503
656,410.14456201900447
657,452.29857195754613
658,436.6026013109884
659,451.2182619402125
660,432.3902212335376
661,435.729967412805
662,411.60733433377015
663,426.4502771985141
664,426.361580391654
665,395.08911877753883
666,451.0368814980062
667,416.8986038673934
668,417.1393939395525
669,453.88881663417
670,412.48584605727274
671,448.7322723189185
672,408.028937193879
673,464.779356871218
674,404.44290874641166
675,422.05933045208866
676,451.8547376869391
677,472.1872828366023
678,427.7497090602151
679,437.4341830643266
680,419.87622396122754
681,404.6868901896992
682,383.4511983638853
683,407.0702697846347
684,387.1800843852527
685,414.9043984314035
686,408.4725150501718
687,440.89558920834077
688,458.90321418096426
689,450.9348685446538
690,438.3055532213816
691,398.9336959308108
692,343.4323194556033
693,442.88032678206247
694,431.0631068335746
695,377.1404355062555
696,422.73304627233813
697,457.2950305741626
698,434.9560496633786
699,416.32302504059146
700,438.13196379031234
701,405.88302263043323
702,472.06839369325814
703,428.6762156789715
704,419.61124938236935
705,401.0111656772699
706,434.3351592558397
707,373.9434098051249
708,401.60708869286833
709,436.3634320109547
710,429.92087567356305
711,421.56563024749505
712,404.1452288216285
713,419.8155093379266
714,439.22935898649456
715,393.3755345883699
716,370.37684254558985
717,394.67931684097886
718,408.2670358265169
719,406.4929248143902
720,435.82289532421356
721,381.6296140912556
722,391.68308423184874
723,407.32916707887887
724,445.985521839408
725,396.77013302096185
726,429.48146024049873
727,402.2800697684283
728,415.1258975330505
729,435.96760127706887
730,419.1182972011825
731,470.86592408895876
732,402.8207766884094
733,413.3056157211249
734,413.5818806792812
735,439.5832910965837
736,375.12704547818095
737,456.2092142479793
738,388.92121132697804
739,402.6691248879621
740,361.22430161516843
741,391.68624461307394
742,399.43227243060403
743,406.7747689801495
744,416.2241928764423
745,390.49350271914125
746,364.2195458048544
747,410.4752555263646
748,443.6648931588651
749,415.6127704838924
750,362.85188342970486
751,414.2483290188778
752,357.1737779798772
753,411.74140575049415
754,421.91101974527265
755,398.49827222507696
756,469.03339539115007
757,405.36266896559357
758,408.63433302161036
759,445.586407205957
760,449.76940752420614
761,377.92881604715416
762,369.5297500790921
763,424.83507608331576
764,407.4657961557681
765,429.85566662918546
766,387.9537268932539
767,373.7263468518087
768,396.9863595310889
769,366.9335487455266
770,417.8465144303497
771,401.922418959444
772,446.95090342849954
773,419.1852277534951
774,429.2067269525908
775,381.19345342579663
776,374.0686209072691
777,427.7650365709379
778,425.2847637635875
779,375.1479652529888
780,419.9237300851278
781,417.87788290507643
782,430.52543983379536
783,440.66718498425155
784,364.2357626854044
785,390.7022319809199
786,463.79752968947713
787,416.6383656649906
788,370.0885951799207
789,470.59545297145235
790,351.7830433355665
791,361.0624984164443
792,412.7157629864395
793,403.847101611642
794,490.7716739080071
795,407.21944679747
796,423.3656933148409
797,400.51887669931057
798,386.1676987843345
799,442.8069075689541
800,397.96133451293093
801,354.105780740357
802,451.8034619983311
803,390.78971557461875
804,399.98828168568883
805,416.7683817568133
806,415.81455943292633
807,412.647731043167
808,398.5871114163261
809,395.2163710594503
810,432.8208783781507
811,396.29065555035436
812,411.143214296116
813,410.7983073336119
814,380.53517375941635
815,412.8706537268434
816,354.0951995819266
817,439.3774933753825
818,408.02634375783236
819,401.9457880145572
820,386.7831123161019
821,459.6545398369525
822,389.70073513215243
823,513.0720510126326
824,402.3427888801062
825,384.88186786827134
826,393.32855618592
827,396.69114096012396
828,421.14766753741367
829,364.60795391489165
830,339.9383879497437
831,396.67176320486226
832,412.4069912850755
833,447.6123854502595
834,409.81975206634314
835,399.1665695520581
836,448.1110336986627
837,407.19920881806695
838,389.01786970004184
839,411.13087183460794
840,423.43524084174
841,352.20526752747907
842,374.57703302124435
843,418.8487821106687
844,437.7572184449752
845,419.5268328227497
846,413.7531967727191
847,434.98572730065064
848,403.3689942609529
849,412.6559891608598
850,448.4720361744327
851,420.0760329145879
852,384.3073175849503
853,443.087385547313
854,432.80466993908414
855,432.2274810958603
856,378.64073575940006
857,434.37089580308447
858,409.78789006948074
859,445.8888301727843
860,368.4111929195326
861,420.8362545678804
862,473.47572385264937
863,432.02442937111243
864,428.8718038591452
865,409.03899953793695
866,455.0652606712556
867,379.26701960117686
868,350.87591932745886
869,452.5507233311017
870,406.08577126200845
871,450.91608546905746
872,386.54135825340757
873,383.10444570238326
874,395.99343930769254
875,447.96555221194524
876,406.04516734802576
877,390.89287400337184
878,356.6635929829728
879,465.362414276051
880,352.3854216406029
881,429.80693379411605
882,409.731057579446
883,439.50830789773653
884,428.63708842799736
885,440.0089277116828
886,418.4298439267266
887,414.1504780349268
888,376.659477046083
889,429.3524822120755
890,396.4883575371113
